"ensemble","ensemble.size","accuracy"
"rfferns,knn,rfrules,gbm,glmnet,adabag",6,0.500999333777482
"knn,adabag,pda,rf,glmnet,multinom,gbm,rfrules,rfferns",9,0.513324450366422
"knn,rf,rfferns,pda,gbm,adabag,multinom",7,0.515989340439707
"rf,gbm,rfferns,adabag,rfrules,pda",6,0.515989340439707
"pda,gbm,glmnet",3,0.503997335109927
"rfferns,gbm,rf,knn",4,0.509327115256496
"rfrules,gbm,knn,glmnet,multinom,adabag,pda",7,0.508994003997335
"pda,rfferns,knn,glmnet,rfrules,gbm,adabag,multinom",8,0.507661558960693
"knn,rfrules",2,0.478347768154564
"gbm,glmnet,rfferns,rfrules,adabag,multinom,knn",7,0.511325782811459
"multinom,knn,gbm,rf,pda,glmnet,rfrules,rfferns",8,0.515323117921386
"rfrules,rf,glmnet,knn",4,0.508994003997335
"rfrules,multinom,adabag,gbm,glmnet,pda,rf,knn",8,0.513324450366422
"rf,pda,knn",3,0.530979347101932
"rfferns,pda,multinom,rfrules,adabag,rf",6,0.513324450366422
"knn,rfrules,multinom,adabag,pda,gbm,rf,glmnet,rfferns",9,0.513657561625583
"knn,multinom,rfrules,rfferns,adabag,glmnet,rf",7,0.513990672884743
"gbm,knn,rf,multinom,rfrules,glmnet,rfferns",7,0.518987341772152
"rfferns,knn,glmnet,pda,multinom,rf,rfrules,gbm",8,0.518321119253831
"glmnet,knn,rfrules,adabag,gbm,rf,pda",7,0.510326449033977
"rfferns,pda,multinom,rf,glmnet,knn",6,0.509660226515656
"multinom,knn,pda,rf",4,0.502998001332445
"knn,gbm,glmnet",3,0.510326449033977
"pda,rf,adabag,knn,rfferns,glmnet,multinom,gbm,rfrules",9,0.514656895403065
"multinom,rf,pda,gbm,rfferns,adabag",6,0.510992671552299
"rfrules,adabag,rf,multinom,rfferns,gbm,glmnet,knn",8,0.513990672884743
"gbm,multinom,glmnet,pda,rfrules,rf,adabag",7,0.511325782811459
"glmnet,rfferns,rfrules,pda",4,0.501998667554963
"knn,glmnet,multinom,gbm,rf,rfferns,adabag",7,0.514656895403065
"adabag,knn,rfrules,rfferns,gbm,pda",6,0.509993337774817
"rfferns,rf,multinom,glmnet,pda,rfrules,gbm,adabag,knn",9,0.513990672884743
"gbm,pda,multinom,adabag",4,0.503997335109927
"rfrules,glmnet,rf,knn",4,0.508994003997335
"knn,adabag,rfferns,multinom,pda,gbm,rf,glmnet",8,0.513657561625583
"rf,knn",2,0.542638241172552
"rfrules,rf,glmnet,pda,knn,multinom,gbm,rfferns,adabag",9,0.513990672884743
"pda,glmnet,rfrules,adabag",4,0.501665556295803
"rfrules,rf,multinom",3,0.519986675549634
"rfrules,rf,knn,rfferns,multinom,gbm,adabag",7,0.512991339107262
"adabag,rf,multinom,pda,rfferns,gbm,glmnet,knn",8,0.509660226515656
"knn,glmnet,rfferns,adabag,gbm,multinom,rf,pda,rfrules",9,0.513657561625583
"multinom,rfferns,rf,rfrules,glmnet,adabag,gbm,pda",8,0.509327115256496
"knn,gbm",2,0.478347768154564
"multinom,pda,glmnet,adabag,rfferns,knn,rf",7,0.51199200532978
"rfrules,adabag,gbm,glmnet,knn,rfferns",6,0.503664223850766
"pda,rf,rfrules,gbm,glmnet,rfferns,multinom,adabag",8,0.510659560293138
"pda,rfferns",2,0.489007328447702
"rfferns,rf,glmnet,multinom",4,0.507328447701532
"rfrules,rf,multinom,pda,gbm",5,0.518321119253831
"knn,pda,gbm,rf",4,0.52398401065956
"adabag,glmnet,rfrules,knn",4,0.498001332445037
"rfrules,rf",2,0.473017988007995
"multinom,rfferns,glmnet,pda,rfrules,adabag,rf,knn,gbm",9,0.517321785476349
"rfferns,glmnet,knn,gbm,multinom,pda,adabag,rf,rfrules",9,0.509993337774817
"rf,rfrules,gbm,knn,adabag,rfferns,glmnet",7,0.513990672884743
"rfferns,adabag,rf,multinom,knn",5,0.51165889407062
"adabag,rf,glmnet,gbm,knn,rfrules,pda,multinom,rfferns",9,0.509327115256496
"glmnet,adabag,pda",3,0.501665556295803
"rf,rfferns,multinom,rfrules,glmnet,adabag",6,0.506329113924051
"multinom,rfrules,adabag,gbm,rf",5,0.515656229180546
"adabag,pda,glmnet,rfferns,multinom,rfrules",6,0.502664890073284
"rfferns,adabag,rfrules,glmnet,pda,knn,gbm",7,0.501998667554963
"knn,pda",2,0.478347768154564
"rfrules,gbm,adabag,rf",4,0.50566289140573
"glmnet,knn,rfrules",3,0.503331112591606
"rfrules,pda,rfferns,multinom,glmnet,gbm,rf,knn",8,0.515323117921386
"multinom,rf,pda",3,0.503997335109927
"rfrules,adabag",2,0.473017988007995
"gbm,glmnet,multinom,rf,rfrules,rfferns",6,0.514990006662225
"gbm,rf,adabag,rfrules,glmnet,multinom,pda,rfferns,knn",9,0.513657561625583
"glmnet,pda,knn",3,0.502998001332445
"rfferns,pda,glmnet,knn,gbm,multinom,adabag",7,0.510659560293138
"rfrules,multinom,rfferns,gbm,pda,glmnet,adabag,knn",8,0.509660226515656
"rfferns,multinom,knn,rf",4,0.509660226515656
"gbm,rfrules,glmnet,pda,multinom,adabag,rf,rfferns,knn",9,0.513657561625583
"rfferns,adabag,gbm,multinom,knn",5,0.504330446369087
"rfferns,adabag,glmnet,knn",4,0.491005996002665
"pda,multinom,rfferns",3,0.489007328447702
"glmnet,gbm,rf,adabag,knn",5,0.513324450366422
"adabag,glmnet,knn,rf",4,0.501665556295803
"rfrules,knn,adabag,glmnet,rfferns,rf,multinom,gbm",8,0.513990672884743
"rfferns,rf,multinom,knn",4,0.509660226515656
"gbm,rfrules,rfferns,adabag",4,0.503664223850766
"gbm,multinom,rfferns",3,0.503664223850766
"rfrules,rfferns",2,0.473017988007995
"glmnet,rfferns,rf,gbm,pda,rfrules,multinom",7,0.508327781479014
"rf,multinom,adabag,knn,rfrules,gbm,rfferns,pda",8,0.519653564290473
"pda,multinom,glmnet,rfrules,knn,rf,gbm,rfferns,adabag",9,0.514990006662225
"pda,gbm,glmnet",3,0.503997335109927
"rf,rfrules,glmnet,gbm,multinom,knn,adabag",7,0.514323784143904
"adabag,rfferns,rfrules,glmnet,gbm,pda,knn,rf,multinom",9,0.509327115256496
"adabag,rfrules,rf,glmnet",4,0.5
"multinom,glmnet,adabag,rf,gbm,knn,pda",7,0.511325782811459
"rfferns,pda,rf,adabag,knn,glmnet,multinom",7,0.51165889407062
"multinom,glmnet",2,0.500333111259161
"gbm,rfferns,rfrules,knn,adabag,pda,rf",7,0.515323117921386
"glmnet,rfrules,multinom,pda,gbm,rf",6,0.509327115256496
"adabag,gbm,multinom,rfrules",4,0.499333777481679
"rfferns,rfrules,glmnet,knn,pda",5,0.502664890073284
"knn,rf,rfferns,pda,rfrules,gbm,adabag,multinom,glmnet",9,0.513990672884743
"rfferns,gbm,knn,pda,rf,glmnet",6,0.516655562958028
"knn,pda,multinom,rf,rfferns,rfrules,gbm,adabag,glmnet",9,0.513990672884743
"gbm,multinom,rfrules,adabag,glmnet,rfferns,rf,pda,knn",9,0.513657561625583
"glmnet,gbm",2,0.494670219853431
"glmnet,rfrules,knn",3,0.503331112591606
"adabag,rf,rfferns,rfrules,knn,gbm",6,0.513324450366422
"multinom,rf,rfrules,rfferns,adabag,gbm,knn,pda,glmnet",9,0.516988674217189
"glmnet,rfferns,rf,gbm,rfrules,pda,knn",7,0.512991339107262
"adabag,pda,gbm,knn,glmnet,rfferns,multinom,rfrules",8,0.510992671552299
"rf,glmnet,knn,rfrules,pda,multinom,gbm",7,0.51765489673551
"multinom,glmnet,adabag,gbm,knn,rfrules",6,0.51199200532978
"adabag,knn",2,0.484343770819454
"adabag,knn,rfrules,rfferns,glmnet,pda,multinom,gbm",8,0.510992671552299
"gbm,rfrules,glmnet,pda,rfferns,multinom,adabag,knn,rf",9,0.513657561625583
"pda,multinom,knn,rfrules,rfferns,glmnet,gbm,adabag,rf",9,0.514656895403065
"rf,gbm,pda,rfrules,knn,glmnet,rfferns,multinom",8,0.520652898067955
"rf,gbm,rfrules,multinom,pda",5,0.51798800799467
"gbm,rf,multinom,knn,rfrules,rfferns,glmnet,adabag",8,0.513324450366422
"knn,multinom,rf,rfrules",4,0.524317121918721
"multinom,rfferns,rfrules",3,0.49433710859427
"glmnet,pda,adabag,rf,knn",5,0.510659560293138
"rfrules,adabag,pda,gbm,knn,glmnet,rfferns",7,0.506995336442372
"gbm,glmnet,rf,pda,rfrules",5,0.515656229180546
"rf,multinom,glmnet,pda,rfferns",5,0.509660226515656
"pda,multinom,rf,rfferns,gbm,knn,rfrules,adabag",8,0.515656229180546
"gbm,knn,multinom,rfferns",4,0.513657561625583
"rfferns,adabag,pda,multinom,gbm,glmnet",6,0.506662225183211
"pda,rfferns,multinom",3,0.489007328447702
"pda,glmnet,adabag,gbm,rf,multinom",6,0.508994003997335
"adabag,gbm,glmnet,pda,rfferns,rfrules,multinom",7,0.502998001332445
"gbm,knn,rfrules,glmnet,rfferns,multinom,pda,rf",8,0.51765489673551
"gbm,rfrules,adabag,glmnet,knn,multinom",6,0.513657561625583
"multinom,adabag,rfrules,gbm",4,0.510659560293138
"knn,adabag,rf,pda,gbm,rfrules,rfferns,multinom,glmnet",9,0.513324450366422
"rfferns,rf,knn,multinom",4,0.509660226515656
"gbm,rf,multinom,adabag,rfferns,glmnet",6,0.510992671552299
"rf,rfrules,rfferns,multinom,adabag",5,0.512991339107262
"knn,rf,rfrules,pda,gbm,multinom,glmnet",7,0.51765489673551
"multinom,gbm,knn,rf,rfrules",5,0.524317121918721
"glmnet,rfferns,knn,adabag,multinom,pda,gbm,rf",8,0.510326449033977
"adabag,glmnet",2,0.484343770819454
"gbm,rf,multinom,rfferns,knn,pda,adabag",7,0.515656229180546
"rf,knn,gbm,rfferns,adabag,pda",6,0.520319786808794
"knn,gbm",2,0.478347768154564
"adabag,glmnet,gbm,pda,rfrules,knn,multinom,rfferns",8,0.510992671552299
"rfrules,gbm,knn,rfferns,glmnet,adabag",6,0.503664223850766
"pda,multinom",2,0.489007328447702
"gbm,knn,rf,glmnet,multinom,pda,rfferns,rfrules,adabag",9,0.513657561625583
"gbm,adabag,pda,knn",4,0.512658227848101
"adabag,gbm",2,0.484343770819454
"rfrules,pda,glmnet,multinom,rfferns,rf,adabag,knn,gbm",9,0.513990672884743
"rfferns,rf,knn,adabag,pda,gbm,rfrules,glmnet,multinom",9,0.513657561625583
"glmnet,rfrules,pda,multinom,adabag,rf,rfferns,knn",8,0.509327115256496
"gbm,multinom,pda,adabag",4,0.503997335109927
"gbm,rfrules,pda,multinom,glmnet,adabag",6,0.508660892738175
"multinom,rf,glmnet,adabag,rfferns,gbm,pda,rfrules",8,0.509327115256496
"pda,adabag,rf,multinom,rfrules,knn,gbm",7,0.515323117921386
"pda,knn,gbm,glmnet,multinom,rf,adabag,rfferns,rfrules",9,0.514656895403065
"rf,gbm,rfferns,adabag,rfrules,pda,glmnet,knn,multinom",9,0.514323784143904
"rfrules,pda,knn,multinom",4,0.507661558960693
"rfrules,rf,gbm,adabag,pda,rfferns,knn,multinom",8,0.516322451698867
"gbm,adabag,rfrules,rfferns,pda",5,0.506995336442372
"pda,multinom,adabag,rfrules,glmnet,knn,gbm,rf",8,0.51199200532978
"rfrules,pda,adabag,glmnet,gbm,knn,multinom,rf,rfferns",9,0.513990672884743
"rf,gbm,rfrules,knn,adabag,multinom,pda,rfferns",8,0.519653564290473
"knn,gbm,pda",3,0.512991339107262
"knn,pda,rfferns,rf,adabag,rfrules,glmnet,multinom,gbm",9,0.513990672884743
"rf,pda,adabag,rfferns,rfrules,knn,multinom,gbm",8,0.519653564290473
"glmnet,rfrules,adabag,rf,multinom",5,0.506662225183211
"multinom,rf,rfrules,rfferns,adabag,knn",6,0.515323117921386
"multinom,rfferns",2,0.500333111259161
"adabag,multinom,knn,rfrules,glmnet,pda,gbm,rf",8,0.508660892738175
"pda,rfferns,knn,adabag,rf,glmnet,multinom",7,0.51165889407062
"glmnet,multinom,pda,rf,gbm,rfferns,adabag,knn,rfrules",9,0.509993337774817
"pda,adabag,knn,gbm",4,0.508660892738175
"multinom,rfrules,glmnet,rfferns,pda,gbm,adabag",7,0.512325116588941
"gbm,adabag",2,0.508994003997335
"rf,pda,rfrules,adabag,knn,rfferns,multinom",7,0.517321785476349
"pda,multinom,gbm,rfferns,adabag,knn,rfrules",7,0.508327781479014
"gbm,knn",2,0.508994003997335
"gbm,rfferns,glmnet,multinom,rf",5,0.515989340439707
"pda,knn,multinom",3,0.49433710859427
"rf,multinom,glmnet,pda,knn,rfferns,rfrules,adabag",8,0.515323117921386
"gbm,pda,rf,rfrules,glmnet,knn,adabag,multinom,rfferns",9,0.513657561625583
"knn,rf,rfrules,glmnet,multinom,gbm",6,0.521319120586276
"multinom,rf",2,0.500333111259161
"gbm,adabag",2,0.508994003997335
"knn,rfrules,rfferns",3,0.479680213191206
"multinom,gbm",2,0.500333111259161
"rf,gbm,glmnet,multinom",4,0.518987341772152
"multinom,glmnet,pda,knn,adabag,rfferns,gbm,rfrules",8,0.507661558960693
"multinom,adabag,rfrules,rfferns,glmnet",5,0.506662225183211
"rfrules,gbm",2,0.473017988007995
"rfrules,glmnet,adabag,gbm,multinom",5,0.503664223850766
"pda,adabag,glmnet,multinom",4,0.502998001332445
"rfferns,glmnet,rfrules,multinom,gbm,pda,rf,adabag,knn",9,0.509993337774817
"glmnet,gbm,rfrules,rf,knn,multinom,pda,adabag,rfferns",9,0.509993337774817
"multinom,knn,glmnet,rfferns,rfrules,adabag,rf,gbm",8,0.510992671552299
"gbm,multinom,rfferns",3,0.503664223850766
"rfferns,pda,multinom,glmnet,gbm",5,0.502331778814124
"rf,rfferns,rfrules,adabag",4,0.510992671552299
"gbm,knn,adabag,pda,multinom,rf,glmnet",7,0.512325116588941
"multinom,glmnet,rf,rfrules",4,0.512325116588941
"multinom,adabag,glmnet",3,0.500333111259161
"rfrules,pda,multinom,knn,gbm,adabag,rf,glmnet",8,0.513324450366422
"knn,adabag,pda,multinom,rfferns,gbm,rfrules,glmnet,rf",9,0.513324450366422
"rf,knn,multinom",3,0.534310459693538
"gbm,pda,rfferns,rfrules,rf",5,0.514323784143904
"pda,multinom,rfrules,adabag,gbm,glmnet",6,0.507661558960693
"rfrules,gbm,pda,knn,rfferns,rf,multinom,glmnet,adabag",9,0.513990672884743
"adabag,glmnet,multinom,gbm,rf,rfferns,knn,pda",8,0.509660226515656
"pda,multinom,adabag,rf,gbm,knn",6,0.51165889407062
"pda,knn",2,0.489007328447702
"rfferns,rfrules,glmnet,knn,multinom,pda,adabag",7,0.501998667554963
"rf,rfferns,glmnet,rfrules,adabag,knn,pda,multinom",8,0.515323117921386
"rfrules,pda,knn,rfferns,gbm,glmnet",6,0.512325116588941
"pda,gbm,rf,multinom",4,0.502331778814124
"knn,rfferns,gbm,adabag,multinom,pda",6,0.508660892738175
"multinom,rfrules,glmnet,adabag,rfferns,pda",6,0.501665556295803
"gbm,rf,pda,multinom",4,0.518987341772152
"rfferns,rfrules,glmnet,gbm,multinom,pda",6,0.509660226515656
"adabag,pda,rfferns",3,0.485009993337775
"multinom,glmnet,rfferns,adabag",4,0.499666888740839
"glmnet,knn,gbm,rfferns,rf,multinom,adabag",7,0.507994670219853
"rfrules,adabag,knn,gbm,rfferns",5,0.505329780146569
"gbm,knn,rfrules",3,0.517321785476349
"rf,adabag,gbm",3,0.518987341772152
"pda,adabag,glmnet,rfrules,rfferns",5,0.503331112591606
"gbm,glmnet,adabag,rf",4,0.513324450366422
"gbm,glmnet,pda,rf,knn,multinom,adabag,rfferns",8,0.51199200532978
"pda,rf,multinom,glmnet,rfferns,knn,gbm,adabag,rfrules",9,0.514656895403065
"glmnet,gbm,adabag",3,0.496002664890073
"rfrules,glmnet,knn,gbm",4,0.507994670219853
"adabag,glmnet,gbm,multinom,rfrules,rfferns,knn,rf",8,0.511325782811459
"rfferns,pda",2,0.167221852098601
"pda,gbm,multinom,rfferns,knn,glmnet,adabag",7,0.510326449033977
"knn,gbm,pda,glmnet,adabag,rfferns",6,0.507994670219853
"knn,rfferns,rfrules,pda,gbm,glmnet,rf,multinom",8,0.518321119253831
"glmnet,knn,pda,rf,multinom",5,0.512991339107262
"knn,rfferns",2,0.478347768154564
"rf,knn,rfrules,rfferns,adabag,glmnet,multinom,pda",8,0.515323117921386
"glmnet,adabag,gbm",3,0.496002664890073
"glmnet,gbm",2,0.494670219853431
"pda,multinom,adabag,gbm,rfferns,glmnet",6,0.508327781479014
"rfrules,pda,rf,rfferns,gbm,adabag",6,0.515323117921386
"rfrules,pda,rfferns,gbm,rf,multinom,adabag,knn",8,0.516322451698867
"pda,adabag,rfrules,rf",4,0.509660226515656
"rfrules,gbm,knn,rfferns,pda",5,0.512325116588941
"rfrules,knn,rf,adabag,rfferns,pda,glmnet,gbm,multinom",9,0.513990672884743
"rfferns,glmnet,multinom,adabag",4,0.497668221185876
"rfferns,knn,pda",3,0.390073284477015
"pda,rfferns,knn,gbm,multinom,rfrules,rf",7,0.515323117921386
"glmnet,rfrules",2,0.494670219853431
"multinom,knn,pda,glmnet,rf,gbm,rfferns",7,0.513657561625583
"pda,rf,adabag,multinom",4,0.502998001332445
"pda,rfrules,gbm,adabag,knn",5,0.510992671552299
"adabag,rfrules,knn",3,0.499333777481679
"multinom,rfrules,rf,adabag",4,0.514323784143904
"gbm,rfferns,adabag,rf,glmnet,knn,rfrules,multinom,pda",9,0.513657561625583
"rfrules,glmnet,multinom",3,0.503331112591606
"pda,adabag,knn,rfferns,gbm,rf,glmnet,rfrules,multinom",9,0.514990006662225
"rfferns,gbm,knn",3,0.397734843437708
"adabag,knn,pda,rf,multinom,rfferns,gbm,glmnet,rfrules",9,0.509327115256496
"multinom,pda",2,0.500333111259161
"adabag,gbm,glmnet,rfferns,rfrules,rf",6,0.504663557628248
"multinom,adabag,rfrules",3,0.502331778814124
"pda,rf,gbm",3,0.51798800799467
"adabag,rfferns,glmnet,gbm",4,0.49433710859427
"glmnet,multinom,pda,adabag,knn,gbm,rf,rfrules",8,0.508327781479014
"gbm,glmnet,rf,knn",4,0.518654230512991
"rf,knn,rfrules,pda",4,0.530313124583611
"gbm,rfferns,rf,adabag,pda,glmnet,multinom",7,0.508994003997335
"knn,pda,multinom,rf,adabag,rfferns,gbm,glmnet,rfrules",9,0.513990672884743
"rf,adabag,multinom",3,0.515989340439707
"knn,pda,rfferns,gbm,glmnet,adabag",6,0.507994670219853
"glmnet,gbm,adabag,multinom,knn,pda,rfferns",7,0.508660892738175
"rf,knn,multinom",3,0.534310459693538
"rf,rfferns,rfrules,glmnet",4,0.512658227848101
"rfferns,knn,multinom,gbm,pda,adabag,glmnet,rfrules,rf",9,0.513990672884743
"knn,rf,adabag",3,0.519653564290473
"gbm,pda,rfferns,multinom,rfrules",5,0.506329113924051
"rfferns,adabag,gbm,knn,rf,glmnet,multinom,pda",8,0.511325782811459
"adabag,rfrules,pda,rfferns,multinom,rf,glmnet",7,0.50566289140573
"knn,pda,multinom,rfferns,glmnet",5,0.501332445036642
"glmnet,rfferns,multinom,rfrules,adabag,gbm,pda,rf,knn",9,0.509993337774817
"rfferns,gbm,multinom,glmnet",4,0.50566289140573
"glmnet,knn,multinom,pda,rfrules,gbm,rf,adabag,rfferns",9,0.509993337774817
"gbm,knn,multinom,rf",4,0.519986675549634
"rfferns,pda",2,0.167221852098601
"rfrules,gbm,pda,adabag,rfferns,multinom",6,0.510326449033977
"rfrules,knn,glmnet,gbm,rf,adabag,multinom,rfferns",8,0.513990672884743
"adabag,rfrules,glmnet,rf,rfferns,gbm",6,0.504663557628248
"multinom,glmnet,pda",3,0.502331778814124
"rfferns,adabag,gbm,glmnet,rf,knn,rfrules,multinom,pda",9,0.509660226515656
"multinom,gbm,rfrules,rf,knn",5,0.524317121918721
"knn,glmnet,adabag",3,0.498334443704197
"multinom,adabag,rf",3,0.513990672884743
"pda,gbm,rfferns,multinom,rfrules,rf,glmnet",7,0.510992671552299
"multinom,glmnet,rf,rfrules,rfferns",5,0.516322451698867
"multinom,rfrules,knn,glmnet,rfferns,pda,gbm,rf",8,0.515323117921386
"glmnet,knn,rfferns",3,0.492671552298468
"rfferns,rfrules,gbm",3,0.424716855429713
"rf,glmnet,rfrules,rfferns,pda,knn,multinom,gbm,adabag",9,0.513990672884743
"rf,rfrules,multinom,glmnet,rfferns,pda",6,0.513324450366422
"multinom,knn",2,0.500333111259161
"glmnet,adabag,rfferns,knn,rf,pda,rfrules",7,0.505329780146569
"adabag,knn,rfrules,multinom,glmnet,pda,rfferns",7,0.502331778814124
"rf,glmnet",2,0.542638241172552
"knn,adabag,rfrules,pda,gbm,rf,rfferns,multinom",8,0.519653564290473
"pda,glmnet,rfrules,rf,rfferns,adabag,knn,gbm",8,0.509327115256496
"rfrules,rf,glmnet,knn,rfferns",5,0.510659560293138
"gbm,multinom,glmnet,knn",4,0.516322451698867
"gbm,pda,knn,rfferns,rf,rfrules,glmnet",7,0.516655562958028
"multinom,rfrules,adabag,rfferns,glmnet",5,0.506662225183211
"rf,pda",2,0.542638241172552
"pda,rfrules,knn,multinom,gbm,adabag",6,0.505329780146569
"rfrules,knn,pda,multinom,glmnet",5,0.508994003997335
"multinom,pda,rf",3,0.503997335109927
"adabag,gbm,multinom,glmnet,knn,rf,pda,rfferns,rfrules",9,0.509327115256496
"glmnet,rf,knn,adabag,gbm,rfrules,rfferns",7,0.50566289140573
"gbm,pda,rfferns,adabag,rfrules,multinom,glmnet",7,0.508994003997335
"knn,adabag,rf,rfrules,glmnet,gbm",6,0.515323117921386
"adabag,rfferns,glmnet,gbm,multinom,knn,rfrules,pda,rf",9,0.509327115256496
"multinom,glmnet,adabag,gbm,rf,rfrules,pda,knn",8,0.514656895403065
"adabag,pda,rfrules,gbm,rfferns",5,0.498001332445037
